iter	Passed	Remaining
355	597	1080
356	598	1077
357	599	1075
358	601	1073
359	603	1072
360	604	1070
361	605	1067
362	606	1064
363	607	1061
364	608	1059
365	609	1056
366	610	1053
367	611	1050
368	612	1048
369	614	1045
370	615	1043
371	616	1040
372	617	1038
373	618	1035
374	619	1033
375	621	1030
376	622	1028
377	623	1025
378	624	1022
379	624	1019
380	626	1017
381	627	1014
382	628	1012
383	630	1010
384	634	1013
385	635	1010
386	636	1008
387	637	1005
388	638	1002
389	639	999
390	639	996
391	640	994
392	644	994
393	645	992
394	646	989
395	647	987
396	648	984
397	648	981
398	649	978
399	650	976
400	651	973
401	652	971
402	653	968
403	654	965
404	655	963
405	657	961
406	658	959
407	662	960
408	663	958
409	664	956
410	665	953
411	666	951
412	667	948
413	668	945
414	669	943
415	670	941
416	672	939
417	673	937
418	674	935
419	675	932
420	676	930
421	677	927
422	678	925
423	679	923
424	680	920
425	681	918
426	682	915
427	683	913
428	688	916
429	690	915
430	692	913
431	693	911
432	694	909
433	695	906
434	696	904
435	696	901
436	698	899
437	699	897
438	700	895
439	701	893
440	702	891
441	703	888
442	704	886
443	705	883
444	706	881
445	707	878
446	708	876
447	709	873
448	710	871
449	713	872
450	715	870
451	716	868
452	717	866
453	718	864
454	719	861
455	720	859
456	721	856
457	721	854
458	722	851
459	723	849
460	724	847
461	726	846
462	731	848
463	732	846
464	733	844
465	735	842
